UNIT,MtCH4,MtN
YEAR,CH4,N2O
2317,273.9251,9.1
2318,273.804,9.1
2319,273.6722,9.1
2320,273.6626,9.1
2321,273.7174,9.1
2322,273.8033,9.1
2323,273.9103,9.1
2324,273.9783,9.1
2325,273.9831,9.1
2326,273.9575,9.1
2327,273.9251,9.1
2328,273.8896,9.1
2329,273.7683,9.1
2330,273.6362,9.1
2331,273.6263,9.1
2332,273.6806,9.1
2333,273.7667,9.1
2334,273.8728,9.1
2335,273.9407,9.1
2336,273.945,9.1
2337,273.919,9.1
2338,273.886,9.1
2339,273.8506,9.1
2340,273.7287,9.1
2341,273.5963,9.1
2342,273.5864,9.1
2343,273.6402,9.1
2344,273.726,9.1
2345,273.8318,9.1
2346,273.8993,9.1
2347,273.9033,9.1
2348,273.8772,9.1
2349,273.8435,9.1
2350,273.8078,9.1
2351,273.6859,9.1
2352,273.5532,9.1
2353,273.5429,9.1
2354,273.5967,9.1
2355,273.682,9.1
2356,273.7877,9.1
2357,273.8549,9.1
2358,273.8583,9.1
2359,273.8319,9.1
2360,273.7985,9.1
2361,273.7621,9.1
2362,273.6397,9.1
2363,273.5071,9.1
2364,273.4965,9.1
2365,273.5502,9.1
2366,273.6353,9.1
2367,273.7408,9.1
2368,273.8074,9.1
2369,273.8108,9.1
2370,273.7841,9.1
2371,273.7504,9.1
2372,273.7138,9.1
2373,273.5911,9.1
2374,273.4584,9.1
2375,273.4476,9.1
2376,273.5014,9.1
2377,273.5858,9.1
2378,273.6916,9.1
2379,273.7578,9.1
2380,273.7609,9.1
2381,273.7343,9.1
2382,273.6997,9.1
2383,273.6634,9.1
2384,273.5406,9.1
2385,273.4074,9.1
2386,273.3969,9.1
2387,273.4499,9.1
2388,273.5348,9.1
2389,273.6401,9.1
2390,273.7061,9.1
2391,273.7093,9.1
2392,273.6821,9.1
2393,273.6477,9.1
2394,273.6109,9.1
2395,273.4882,9.1
2396,273.3549,9.1
2397,273.344,9.1
2398,273.3975,9.1
2399,273.4817,9.1
2400,273.5869,9.1
2401,273.653,9.1
2402,273.656,9.1
2403,273.6284,9.1
2404,273.594,9.1
2405,273.5571,9.1
2406,273.4343,9.1
2407,273.3009,9.1
2408,273.29,9.1
2409,273.3432,9.1
2410,273.4278,9.1
2411,273.5324,9.1
2412,273.5986,9.1
2413,273.6012,9.1
2414,273.574,9.1
2415,273.5392,9.1
2416,273.5021,9.1
2417,273.3789,9.1
2418,273.2458,9.1
2419,273.2351,9.1
2420,273.288,9.1
2421,273.3723,9.1
2422,273.4774,9.1
2423,273.5432,9.1
2424,273.5457,9.1
2425,273.518,9.1
2426,273.4837,9.1
2427,273.4462,9.1
2428,273.3232,9.1
2429,273.1898,9.1
2430,273.1791,9.1
2431,273.232,9.1
2432,273.3166,9.1
2433,273.4211,9.1
2434,273.4871,9.1
2435,273.4897,9.1
2436,273.4618,9.1
2437,273.4273,9.1
2438,273.3901,9.1
2439,273.2667,9.1
2440,273.1333,9.1
2441,273.1229,9.1
2442,273.1756,9.1
2443,273.2602,9.1
2444,273.3649,9.1
2445,273.4309,9.1
2446,273.4329,9.1
2447,273.4054,9.1
2448,273.3709,9.1
2449,273.3333,9.1
2450,273.2102,9.1
2451,273.0768,9.1
2452,273.0662,9.1
2453,273.1193,9.1
2454,273.2036,9.1
2455,273.3086,9.1
2456,273.374,9.1
2457,273.3768,9.1
2458,273.3487,9.1
2459,273.3141,9.1
2460,273.2768,9.1
2461,273.1537,9.1
2462,273.0204,9.1
2463,273.0096,9.1
2464,273.063,9.1
2465,273.1474,9.1
2466,273.2521,9.1
2467,273.3177,9.1
2468,273.3203,9.1
2469,273.2924,9.1
2470,273.2578,9.1
2471,273.2205,9.1
2472,273.0971,9.1
2473,272.9642,9.1
2474,272.9538,9.1
2475,273.0067,9.1
2476,273.0915,9.1
2477,273.1962,9.1
2478,273.2619,9.1
2479,273.2641,9.1
2480,273.2365,9.1
2481,273.202,9.1
2482,273.1646,9.1
2483,273.0413,9.1
2484,272.9085,9.1
2485,272.8979,9.1
2486,272.9515,9.1
2487,273.0358,9.1
2488,273.1409,9.1
2489,273.2066,9.1
2490,273.2088,9.1
2491,273.1812,9.1
2492,273.1467,9.1
2493,273.1094,9.1
2494,272.9864,9.1
2495,272.8534,9.1
2496,272.843,9.1
2497,272.8967,9.1
2498,272.9811,9.1
2499,273.0863,9.1
2500,273.0147,9.1
