UNIT,MtCH4,MtN
YEAR,CH4,N2O
2400,245.7633,9.1
2401,245.8777,9.1
2402,245.9915,9.1
2403,246.1046,9.1
2404,246.217,9.1
2405,246.3288,9.1
2406,246.4399,9.1
2407,246.5503,9.1
2408,246.6601,9.1
2409,246.7693,9.1
2410,246.8778,9.1
2411,246.9856,9.1
2412,247.0928,9.1
2413,247.1994,9.1
2414,247.3053,9.1
2415,247.4106,9.1
2416,247.5152,9.1
2417,247.6192,9.1
2418,247.7226,9.1
2419,247.8254,9.1
2420,247.9275,9.1
2421,248.029,9.1
2422,248.1299,9.1
2423,248.2301,9.1
2424,248.3298,9.1
2425,248.4288,9.1
2426,248.5272,9.1
2427,248.6251,9.1
2428,248.7223,9.1
2429,248.8189,9.1
2430,248.9149,9.1
2431,249.0103,9.1
2432,249.1051,9.1
2433,249.1993,9.1
2434,249.2929,9.1
2435,249.3859,9.1
2436,249.4784,9.1
2437,249.5702,9.1
2438,249.6615,9.1
2439,249.7522,9.1
2440,249.8423,9.1
2441,249.9318,9.1
2442,250.0208,9.1
2443,250.1091,9.1
2444,250.1969,9.1
2445,250.2842,9.1
2446,250.3708,9.1
2447,250.457,9.1
2448,250.5425,9.1
2449,250.6275,9.1
2450,250.7119,9.1
2451,250.8039,9.1
2452,250.8953,9.1
2453,250.9861,9.1
2454,251.0764,9.1
2455,251.1662,9.1
2456,251.2554,9.1
2457,251.3441,9.1
2458,251.4322,9.1
2459,251.5198,9.1
2460,251.6068,9.1
2461,251.6933,9.1
2462,251.7793,9.1
2463,251.8648,9.1
2464,251.9497,9.1
2465,252.0341,9.1
2466,252.1179,9.1
2467,252.2013,9.1
2468,252.2841,9.1
2469,252.3664,9.1
2470,252.4482,9.1
2471,252.5294,9.1
2472,252.6102,9.1
2473,252.6904,9.1
2474,252.7702,9.1
2475,252.8494,9.1
2476,252.9282,9.1
2477,253.0064,9.1
2478,253.0841,9.1
2479,253.1613,9.1
2480,253.2381,9.1
2481,253.3143,9.1
2482,253.39,9.1
2483,253.4653,9.1
2484,253.5401,9.1
2485,253.6143,9.1
2486,253.6881,9.1
2487,253.7614,9.1
2488,253.8342,9.1
2489,253.9065,9.1
2490,253.9783,9.1
2491,254.0496,9.1
2492,254.1205,9.1
2493,254.1909,9.1
2494,254.2608,9.1
2495,254.3301,9.1
2496,254.399,9.1
2497,254.4675,9.1
2498,254.5354,9.1
2499,254.6028,9.1
2500,254.6698,9.1
